id,name,related,status,note,evidenceUrl,evidenceHost,images,tags
yc-001,神农尝bug,克势力工作室,有证据,,,,assets/images/yc-001-project.png、assets/images/yc-001-evidence.png,
yc-002,菇与勇者,疯狂星期三,有证据,,,,assets/images/yc-002-project.png、assets/images/yc-002-evidence.png,
yc-003,被神注视的游戏,SN,有证据,,,,assets/images/yc-003-project.png、assets/images/yc-003-evidence.png,
yc-004,寄生毒液ParasiticVenom,SN,有证据,,,,assets/images/yc-004-project.png、assets/images/yc-004-evidence.png,
yc-005,矩阵破冰者,美术百分百,有证据,,,,assets/images/yc-005-project.png、assets/images/yc-005-evidence.png,
yc-006,Glitch,celia,有证据,,,,assets/images/yc-006-project.png、assets/images/yc-006-evidence.png,
yc-007,主播模拟器,亚当工作室,有证据,,,,assets/images/yc-007-project.png、assets/images/yc-007-evidence.png,
yc-008,侠路相逢,冒险者小队,有证据,,,,assets/images/yc-008-project.png、assets/images/yc-008-evidence.png,
yc-009,拟态BABY,樊夢工作室,有证据,,,,assets/images/yc-009-project.png、assets/images/yc-009-evidence.png,
yc-010,未定义行为,CUBR游戏工作室,有证据,,,,assets/images/yc-010-project.png、assets/images/yc-010-evidence.png,
yc-011,虫虫家装,甲壳虫工作室,有证据,,,,assets/images/yc-011-project.png、assets/images/yc-011-evidence.png,
yc-012,镜中人,亚当工作室,有证据,,https://www.bilibili.com/video/BV1xVKVzCEcM/?spm_id_from=333.337.search-card.all.click&vd_source=7b47ccdeb6676630869e49a80d2f842a,bilibili.com,assets/images/yc-012-project.png、assets/images/yc-012-evidence.png,B站
yc-013,冒牌上班族,浮华,有证据,,,,assets/images/yc-013-project.png、assets/images/yc-013-evidence.png,
yc-014,小鸥快骰,“无开发者验证”,有证据,,,,assets/images/yc-014-project.png、assets/images/yc-014-evidence.png,无开发者验证
yc-015,听山,“无开发者验证”,有证据,,,,assets/images/yc-015-project.png、assets/images/yc-015-evidence.png,无开发者验证
yc-016,端点：入侵协议,MYB,有备注与证据,b站与比赛同素材，不同颜色，但素材和玩法依然一模一样,https://www.bilibili.com/video/BV1oQXaBHE1Z/?spm_id_from=333.1387.homepage.video_card.click&vd_source=7b47ccdeb6676630869e49a80d2f842a,bilibili.com,assets/images/yc-016-project.png、assets/images/yc-016-evidence.png,B站
yc-017,Eclipsa,亚当工作室,有证据,,,,assets/images/yc-017-project.png、assets/images/yc-017-evidence.png,
yc-018,奶茶店模拟器：重生之我在冰堡甜城当店长,财可咪工作室,有证据,,,,assets/images/yc-018-project.png、assets/images/yc-018-evidence.png,
yc-019,Dream Builder,橘黄色苏丹三,有证据,,https://www.bilibili.com/video/BV1RgzZYfECt/?spm_id_from=333.337.search-card.all.click&vd_source=3e560f1e17dc1836cb3ca08889357990,bilibili.com,assets/images/yc-019-project.png、assets/images/yc-019-evidence.png,B站
yc-020,Eat Is Rule,CUBR游戏工作室,有证据,,https://www.bilibili.com/video/BV1acSyBNEsW/?vd_source=3e560f1e17dc1836cb3ca08889357990,bilibili.com,assets/images/yc-020-project.png、assets/images/yc-020-evidence.png,B站
yc-021,Lord of Wonders,ZYX,有证据,,https://www.bilibili.com/video/BV1LF7969Evc/?vd_source=3e560f1e17dc1836cb3ca08889357990,bilibili.com,assets/images/yc-021-project.png、assets/images/yc-021-evidence.png,B站
yc-022,Stepping Parkour,ShadowD,有证据,,https://space.bilibili.com/501185163?spm_id_from=333.788.upinfo.head.click,space.bilibili.com,assets/images/yc-022-project.png、assets/images/yc-022-evidence.png,B站
yc-023,回忆回想,SN,有证据,,https://supernail.itch.io/echoes-of-memories,supernail.itch.io,assets/images/yc-023-project.png、assets/images/yc-023-evidence.png,itch.io
yc-024,块块相连,SN,有证据,,https://www.bilibili.com/video/BV19bwjzsEVd/?vd_source=7b47ccdeb6676630869e49a80d2f842a,bilibili.com,assets/images/yc-024-project.png、assets/images/yc-024-evidence.png,B站
